id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
147,42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,42042.jpg
148,23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,23849.jpg
153,54127,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Heels,54127.jpg
154,10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts,10065.jpg
155,24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012,Casual,Numero Uno Men White Casual Shoes,24250.jpg
159,5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,5092.jpg
160,10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,10859.jpg
162,15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011,Casual,Rockport Men LLandro Red Casual Shoes,15517.jpg
163,4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,2015,Casual,Skechers Women Green Shoe,4140.jpg
166,10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers,10257.jpg
167,24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Locomotive Men Navy Blue Printed T-shirt,24062.jpg
170,53130,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Brown Sandals,53130.jpg
174,22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Mark Taylor Men Striped Blue Shirt,22395.jpg
176,6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Lotto Unisex Canvas Black Check Shoe,6425.jpg
180,31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Lee Women Paula Blue Top,31782.jpg
181,42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Vans Unisex Black & Grey Classic Shoes,42270.jpg
182,12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors of Benetton Men Short Black Shirts,12500.jpg
184,30650,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Nike Men Printed Black T-shirt,30650.jpg
187,32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012,Casual,ONLY Women directoire blue Trousers,32563.jpg
191,24406,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Vishudh Women Red Printed Kurta,24406.jpg
193,21174,Women,Apparel,Topwear,Tops,Beige,Fall,2011,Casual,s.Oliver Women Stripes Beige Top,21174.jpg
197,14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Classic Polo Men Stripes Blue Tshirts,14293.jpg
199,6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,6041.jpg
201,17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Lotto Men Atlantica Black Sports Shoe,17416.jpg
202,9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Little Miss Women Printed Grey T-shirt,9835.jpg
204,7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women Black Jegging,7193.jpg
205,12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Men Sports Black Sports Shoes,12958.jpg
206,27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,2011,Ethnic,Mother Earth Women Magenta Kurta,27283.jpg
207,30234,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012,Casual,Numero Uno Men Black Flip Flops,30234.jpg
209,3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,3533.jpg
215,35574,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2013,Casual,Gliders Men Esquire Red Flip Flops,35574.jpg
216,46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,2012,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,46086.jpg
219,54543,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012,Casual,F Sports Men White Outlander Sports Shoes,54543.jpg
221,26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal,John Miller Men Dark Grey Trousers,26163.jpg
222,3701,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Tantra Women Flower Heart Black Long T-shirt,3701.jpg
224,42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,2012,Ethnic,Aurelia Women Sea Green Kurta,42426.jpg
225,32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,FILA Men Liga II Black Shoes,32751.jpg
227,10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops,10401.jpg
228,40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,40371.jpg
231,4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Puma Men's YugoRun Black White Shoe,4524.jpg
232,37223,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,United Colors of Benetton Women Blue Top,37223.jpg
233,53766,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Puma Men White and Navy Blue T-shirt,53766.jpg
235,32597,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,ONLY Women Black Top,32597.jpg
238,57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Elle Women Dark Pink Top,57100.jpg
239,36137,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,2012,Sports,Nike Women Free Run Pink Sports Shoes,36137.jpg
241,21180,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011,Casual,ADIDAS Men Adi Cells Black Flip Flops,21180.jpg
242,39943,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013,Casual,GAS Men Brown Count Casual Shoes,39943.jpg
246,5630,Women,Footwear,Flip Flops,Flip Flops,Blue,Summer,2011,Casual,ADIDAS Women's Adi Groove Blue Flip Flop,5630.jpg
247,44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2013,Casual,Coolers Men Brown Pokar Flip Flops,44517.jpg
249,50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,2012,Ethnic,Aurelia Women Navy Blue Kurta,50325.jpg
250,8913,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,8913.jpg
251,16530,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Locomotive Men Check Red Shirt,16530.jpg
252,22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men White Capri II Casual Shoe,22705.jpg
253,7167,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Scullers Men Scul Purple White Shirt,7167.jpg
255,27277,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Mother Earth Women Blue Kurta,27277.jpg
256,13042,Women,Footwear,Shoes,Flats,Brown,Winter,2012,Casual,Inc 5 Women Brown Heels,13042.jpg
258,31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012,Ethnic,W Women Peach Kurta,31312.jpg
259,12190,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Basics Men Blue Slim Fit Checked Shirt,12190.jpg
260,55657,Women,Footwear,Shoes,Heels,Gold,Winter,2015,Casual,Catwalk Women Golden Wedges,55657.jpg
261,19578,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Top,19578.jpg
262,27879,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Scullers For Her Women Blue Top,27879.jpg
263,34452,Women,Footwear,Shoes,Flats,Copper,Winter,2012,Casual,Rocia Women Copper Sandals,34452.jpg
264,6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,Classic Polo Men's Swiss Yellow T-shirt,6287.jpg
265,7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Tantra Men's Black Sabbath Navy T-shirt,7355.jpg
267,22537,Men,Footwear,Sandal,Sandals,Tan,Summer,2013,Casual,Gas Men Eldorado Tan Casual  Sandals,22537.jpg
269,43500,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,French Connection Men White T-shirt,43500.jpg
270,2627,Women,Footwear,Shoes,Flats,Silver,Fall,2010,Casual,Carlton London Women Wedge Silver Sandal,2627.jpg
272,13270,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Palm Tree Kids Girls Printed White Tops,13270.jpg
278,11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,2011,Casual,United Colors of Benetton Men Olive Tshirts,11527.jpg
280,40385,Women,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual,Tokyo Talkies Women Yellow Top,40385.jpg
281,15187,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Arrow Sport Men Solid White Polo Tshirts,15187.jpg
283,44725,Women,Footwear,Flip Flops,Flip Flops,Orange,Summer,2012,Casual,Lotto Women Coral Elegant Flip Flops,44725.jpg
284,14055,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Flying Machine Men Check Green Shirts,14055.jpg
285,20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Applique Navy Blue Tshirt,20260.jpg
286,7731,Men,Footwear,Flip Flops,Flip Flops,Grey,Winter,2011,Casual,Puma Men's Winglet II Grey Yellow White Flip Flop,7731.jpg
287,22153,Men,Footwear,Sandal,Sandals,Brown,Summer,2011,Casual,Lee Cooper Men Brown Casual Sandals,22153.jpg
288,43958,Men,Footwear,Sandal,Sandals,Olive,Fall,2012,Casual,Puma Men Olive Techno Ind Sandal,43958.jpg
289,28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,Urban Yoga Women Printed Pink T-shirt,28469.jpg
293,8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,8779.jpg
296,2243,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,2243.jpg
300,33213,Women,Apparel,Topwear,Tops,Magenta,Summer,2012,Casual,Sepia Women Printed Magenta Top,33213.jpg
301,39729,Women,Apparel,Topwear,Tops,Olive,Summer,2012,Casual,Arrow Woman Olive Top,39729.jpg
303,11143,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Price Catch Black Shirts,11143.jpg
306,44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Indian Terrain Men Blue T-shirt,44341.jpg
307,14431,Women,Footwear,Shoes,Heels,Black,Summer,2012,Casual,Enroute Women Casual Black Flats,14431.jpg
312,33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,2012,Ethnic,Mother Earth Women Printed Cream Kurta,33021.jpg
314,11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors Of Benetton Men Summer Black Shirts,11371.jpg
315,41401,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Wrangler Women White Smocked Top,41401.jpg
321,4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Wrangler Cowboy Photo T-shirt,4386.jpg
325,29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,2013,Casual,Basics Men Pack of 3 T-shirt,29789.jpg
327,7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Men's As Icon Blue T-shirt,7503.jpg
333,13426,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts,13426.jpg
334,43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Summer,2012,Sports,Reebok Women Charcoal Grey Fuel Techno Sports Shoes,43356.jpg
336,13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,John Miller Men Stripes Blue Shirts,13846.jpg
339,16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Locomotive Men Washed Blue Jeans,16508.jpg
340,18492,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011,Casual,Puma Men Danny Blue Slipper,18492.jpg
342,7963,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Puma Men's Large Logo Graphic White French T-shirt,7963.jpg
347,57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,2012,Casual,Elle Women Brown Trousers,57138.jpg
348,20856,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,United Colors of Benetton Men Casual Black Shoes,20856.jpg
350,5608,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,ADIDAS Men Kendall Black Navy Floater,5608.jpg
353,15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,2011,Casual,Turtle Solid Men  Burgundy Shirt,15983.jpg
358,20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011,Casual,Wrangler Men Polo Charcoal T-shirt,20258.jpg
359,47198,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Franco Leone Men Brown Sandals,47198.jpg
363,26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Jealous 21 Women Washed Blue Jeans,26993.jpg
364,13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011,Casual,Palm Tree Kids Boy Solid Brown Trousers,13248.jpg
365,43538,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,French Connection Women Blue Top,43538.jpg
368,19772,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2011,Casual,ADIDAS Men Vigor Blue Casual Shoes,19772.jpg
370,5862,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Stripe Black T-shirt,5862.jpg
372,14409,Women,Footwear,Shoes,Heels,White,Summer,2012,Casual,Enroute Women Casual White Heels,14409.jpg
373,58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,58726.jpg
375,11947,Men,Footwear,Sandal,Sandals,Olive,Summer,2012,Casual,Ganuchi Men Casual Olive Sandals,11947.jpg
377,51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Denizen Women Blue Jeans,51499.jpg
378,29583,Women,Footwear,Shoes,Flats,Silver,Summer,2012,Casual,Puma Women Grace Silver Sandals,29583.jpg
380,7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women's Aaren Black Jegging,7709.jpg
382,43960,Men,Apparel,Topwear,Shirts,Grey,Summer,2012,Formal,Indigo Nation Men Grey Striped Shirt,43960.jpg
383,8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts,8741.jpg
387,34832,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men Sukoi White Sports Shoes,34832.jpg
388,23885,Men,Footwear,Shoes,Sports Shoes,Grey,Winter,2012,Sports,Fila Men Grey Hex Sports Shoes,23885.jpg
390,22359,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,John Players Men Check Blue Shirt,22359.jpg
391,19124,Women,Footwear,Flip Flops,Flip Flops,Pink,Fall,2011,Casual,Lotto Women XL Kelly Pink Slippers,19124.jpg
395,2049,Men,Apparel,Topwear,Tshirts,White,Summer,2010,Sports,ADIDAS Men's Slim Fit White T-shirt,2049.jpg
398,33019,Women,Apparel,Topwear,Kurtas,Yellow,Summer,2012,Ethnic,Mother Earth Women Printed Yellow Kurta,33019.jpg
399,41439,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2012,Sports,Lee Cooper Men Black Sports Shoes,41439.jpg
403,24892,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,United Colors of Benetton Men Black T-shirt,24892.jpg
404,58514,Women,Apparel,Topwear,Tops,Grey,Summer,2012,Casual,Tonga Women Grey Top,58514.jpg
405,33825,Women,Footwear,Shoes,Sports Shoes,Silver,Summer,2012,Sports,Puma Women Kuris Silver & Grey Sports Shoes,33825.jpg
407,38637,Men,Apparel,Topwear,Tshirts,Red,Summer,2012,Casual,Nike Men Red Delhi T-shirt,38637.jpg
408,5896,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Cavallino Black Shoe,5896.jpg
409,4944,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear,4944.jpg
410,10861,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Wrangler Men Dirt Riders White T-Shirts,10861.jpg
417,17278,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,U.S. Polo Assn. Men Printed  Steeple Grey Tshirt,17278.jpg
418,31588,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2012,Casual,Mark Taylor Men Printed Maroon T-shirt,31588.jpg
419,49492,Men,Footwear,Shoes,Casual Shoes,Maroon,Summer,2012,Casual,Vans Men Maroon & Grey Era Shoes,49492.jpg
420,18230,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Manchester United Men Printed White Tshirt,18230.jpg
421,23871,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,ADIDAS Men Grey Striped T-shirt,23871.jpg
422,9667,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Indigo Nation Men Bling Red Black Shirts,9667.jpg
424,3953,Women,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Jealous 21 Women's Red Peace T-shirt,3953.jpg
426,28697,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,W Women Printed Black Kurta,28697.jpg
428,8587,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Red Check Shirt,8587.jpg
429,42248,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Sepia Women Pink Top,42248.jpg
433,9455,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Red Striped Shirt,9455.jpg
445,6079,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,UCB Men's Johny Collar With Two Tone Grey T-shirt,6079.jpg
